Name of Location,ID,Latitude,Longitude
Cannada - Bonanza,640a5b07606c450d95b757b8,40.4431,109.5056
Cannada - Sombrio,584204214e65fad6a7709bba,-29.11389,-49.61667
Cannada - Agate,6080b9e39af296a43d50adb7,13.38855,144.65852
Cannada - Chesterman,5842041f4e65fad6a7708db6,-22.046,152.425
Albama - Dauphin,584204204e65fad6a7709b5d,30.255508,-88.084946
New york - Breezy point,5842041f4e65fad6a77089fb,40.554504,-73.926315
New york - Point-o-woods,61dde34e0d5ded2856fca851,41.2931531,-72.254524
Texas - Quintana,5842041f4e65fad6a7708b86,28.924819,-95.318331
Texas - Surfside,5842041f4e65fad6a7708889,28.9543415,-95.29300490 
Washington - Ruby beach,640a3fcbb6d76977915141bd,47.710873,-124.415402
